question,option_a,option_b,option_c,option_d,correct_answer
हिंदी को भारत की राजभाषा के रूप में कब स्वीकार किया गया था?,1947,1949,1950,1952,B
हिंदी किस लिपि में लिखी जाती है?,खरोष्ठी,रोमन,देवनागरी,गुरुमुखी,C
हिंदी साहित्य का पहला महाकाव्य किसे माना जाता है?,रामचरितमानस,पद्मावत,पृथ्वीराजरासो,कामायनी,C
'पृथ्वीराजरासो' के रचयिता कौन हैं?,तुलसीदास,चंदबरदाई,सूरदास,कबीरदास,B
हिंदी का पहला समाचार पत्र 'उदंत मार्तंड' कहाँ से प्रकाशित हुआ था?,दिल्ली,कोलकाता,पटना,वाराणसी,B
'उदंत मार्तंड' के संपादक कौन थे?,भारतेंदु हरिश्चंद्र,जुगल किशोर शुक्ल,महावीर प्रसाद द्विवेदी,बालकृष्ण भट्ट,B
'कामायनी' महाकाव्य के रचयिता कौन हैं?,जयशंकर प्रसाद,सूर्यकांत त्रिपाठी 'निराला',सुमित्रानंदन पंत,महादेवी वर्मा,A
'रामचरितमानस' की भाषा क्या है?,संस्कृत,अवधी,ब्रजभाषा,मैथिली,B
'गोदान' उपन्यास के लेखक का नाम क्या है?,जयशंकर प्रसाद,मुंशी प्रेमचंद,सूर्यकांत त्रिपाठी 'निराला',रामधारी सिंह 'दिनकर',B
संविधान की किस अनुसूची में 22 भाषाओं को शामिल किया गया है?,सातवीं,आठवीं,नौवीं,दसवीं,B
'राष्ट्रकवि' के रूप में किसे जाना जाता है?,मैथिलीशरण गुप्त,हरिवंशराय बच्चन,माखनलाल चतुर्वेदी,सुभद्राकुमारी चौहान,A
'मधुशाला' के रचयिता कौन हैं?,रामधारी सिंह 'दिनकर',हरिवंशराय बच्चन,अज्ञेय,नागार्जुन,B
विश्व हिंदी दिवस कब मनाया जाता है?,10 जनवरी,14 सितंबर,15 अगस्त,26 जनवरी,A
"संघ की राजभाषा हिंदी और लिपि देवनागरी होगी, यह किस अनुच्छेद में है?",अनुच्छेद 343,अनुच्छेद 345,अनुच्छेद 348,अनुच्छेद 351,A
हिंदी भाषा किस परिवार की भाषा है?,द्रविड़,भारोपीय (भारत-यूरोपीय),आस्ट्रिक,चीनी-तिब्बती,B
भारतीय संविधान के किस भाग में राजभाषा का प्रावधान है?,भाग 15,भाग 17,भाग 18,भाग 20,B
संसदीय राजभाषा समिति में कुल कितने सदस्य होते हैं?,20,30,25,15,B
पहला विश्व हिंदी सम्मेलन कहाँ आयोजित हुआ था?,नई दिल्ली,नागपुर,मॉरीशस,लंदन,B
राजभाषा आयोग के प्रथम अध्यक्ष कौन थे?,बी. जी. खेर,डॉ. राजेंद्र प्रसाद,पं. जवाहरलाल नेहरू,सर्वपल्ली राधाकृष्णन,A
भारतीय संविधान की आठवीं अनुसूची में मूल रूप से कितनी भाषाएँ थीं?,14,18,22,10,A
राजभाषा अधिनियम (Official Languages Act) किस वर्ष पारित हुआ था?,1963,1955,1976,1950,A
राजभाषा नियम कब बने थे?,1976,1965,1980,1955,A
क्षेत्रीय भाषाओं को राजभाषा का दर्जा देने वाला पहला राज्य कौन-सा था?,बिहार,उत्तर प्रदेश,आंध्र प्रदेश,तमिलनाडु,A
'क' क्षेत्र के अंतर्गत कौन-से राज्य आते हैं?,"बिहार, उत्तर प्रदेश, मध्य प्रदेश, राजस्थान आदि","महाराष्ट्र, गुजरात, पंजाब","तमिलनाडु, केरल, कर्नाटक","पश्चिम बंगाल, ओडिशा",A
'ग' क्षेत्र के अंतर्गत आने वाले राज्य/संघ क्षेत्र कौन से हैं?,"तमिलनाडु, केरल, कर्नाटक, पश्चिम बंगाल आदि","हरियाणा, हिमाचल प्रदेश","उत्तराखंड, झारखंड",छत्तीसगढ़,A
मातृभाषा में प्राथमिक शिक्षा की सुविधा का प्रावधान किस अनुच्छेद में है?,अनुच्छेद 350क (350A),अनुच्छेद 343,अनुच्छेद 349,अनुच्छेद 351,A
हिंदी भाषा का मानक रूप किस बोली पर आधारित है?,खड़ी बोली,अवधी,ब्रजभाषा,भोजपुरी,A
गीतांजलि के लिए रवीन्द्रनाथ टैगोर को नोबेल पुरस्कार कब मिला था?,1911,1913,1915,1919,B
बांग्ला साहित्य का पहला उपन्यास किसे माना जाता है?,दुर्गेशनंदिनी,आरेखो,कपालकुंडला,पद्मा नदीर माझी,A
'आमार सोनार बांग्ला' गीत के रचयिता कौन हैं?,काजी नजरुल इस्लाम,शरतचंद्र चट्टोपाध्याय,रवीन्द्रनाथ टैगोर,ईश्वरचंद्र विद्यासागर,C
बांग्ला के 'विद्रोही कवि' (Bidrohi Kobi) के रूप में किसे जाना जाता है?,जसीमुद्दीन,काजी नजरुल इस्लाम,माइकल मधुसूदन दत्त,सत्येंद्रनाथ दत्त,B
प्रसिद्ध उपन्यास 'देवदास' के लेखक कौन हैं?,बंकिमचंद्र चट्टोपाध्याय,रवीन्द्रनाथ टैगोर,ताराशंकर बंद्योपाध्याय,शरतचंद्र चट्टोपाध्याय,D
बांग्ला गद्य का जनक (Father of Bengali Prose) किसे कहा जाता है?,ईश्वरचंद्र विद्यासागर,राजा राममोहन राय,पियरीचरण सरकार,मदनमोहन तर्कालंकार,A
भारत का राष्ट्रीय गान 'जन गण मन' मूल रूप से किस भाषा में लिखा गया था?,हिंदी,संस्कृत,बांग्ला,मैथिली,C
'आनंदमठ' उपन्यास के रचयिता कौन हैं?,बंकिमचंद्र चट्टोपाध्याय,विभूतिभूषण बंद्योपाध्याय,माणिक बंद्योपाध्याय,आशापूर्णादेवी,A
प्रसिद्ध बांग्ला उपन्यास 'पाथेर पांचाली' के लेखक कौन हैं?,ताराशंकर बंद्योपाध्याय,विभूतिभूषण बंद्योपाध्याय,सुनील गंगोपाध्याय,शक्ति चट्टोपाध्याय,B
ज्ञानपीठ पुरस्कार पाने वाली पहली बांग्ला महिला लेखिका कौन थीं?,महाश्वेतादेवी,नयनतारा सहगल,आशापूर्णादेवी,मणिनीदेवी,C
संविधान के किस अनुच्छेद में 'हिंदी भाषा के विकास के लिए निर्देश' दिए गए हैं?,अनुच्छेद 351,अनुच्छेद 343,अनुच्छेद 344,अनुच्छेद 350,A
केंद्रीय हिंदी समिति के अध्यक्ष कौन होते हैं?,प्रधानमंत्री,गृहमंत्री,शिक्षामंत्री,राष्ट्रपति,A
आधुनिक भारतीय आर्य भाषाओं का विकास किससे हुआ है?,संस्कृत / अपभ्रंश,प्राकृत,पाली,अंग्रेजी,A
राजभाषा से संबंधित संवैधानिक प्रावधान मुख्यतः किन अनुच्छेदों में हैं?,अनुच्छेद 343 से 351,अनुच्छेद 300 से 310,अनुच्छेद 200 से 210,अनुच्छेद 360 से 370,A
अनुच्छेद 351 का मुख्य संबंध किससे है?,राज्यों की सीमाओं से,हिंदी भाषा के विकास के निर्देश से,न्यायपालिका की संरचना से,निर्वाचन आयोग से,B
अनुच्छेद 344 के अंतर्गत किसका उल्लेख है?,निर्वाचन आयोग,वित्त आयोग,राजभाषा आयोग और संसदीय समिति,संघ लोक सेवा आयोग,C
संविधान के अनुसार संघ की राजभाषा क्या है?,हिंदी और संस्कृत,अंग्रेजी,संस्कृत,हिंदी,D
